EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,BUY_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE,SM_UPPER_LIMIT,SM_LOWER_LIMIT,Unnamed: 31
NSE,D,55122,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27400-PE,NIFTY 13 APR 27400 PUT,OP,,65.0,2026-04-13,27400.0,PE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,5249.9,4050.1,
NSE,D,55128,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27450-CE,NIFTY 13 APR 27450 CALL,OP,,65.0,2026-04-13,27450.0,CE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55129,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27450-PE,NIFTY 13 APR 27450 PUT,OP,,65.0,2026-04-13,27450.0,PE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,5299.85,4100.05,
NSE,D,55138,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27500-CE,NIFTY 13 APR 27500 CALL,OP,,65.0,2026-04-13,27500.0,CE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55139,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27500-PE,NIFTY 13 APR 27500 PUT,OP,,65.0,2026-04-13,27500.0,PE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,5349.8,4150.0,
NSE,D,55144,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27550-CE,NIFTY 13 APR 27550 CALL,OP,,65.0,2026-04-13,27550.0,CE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55145,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27550-PE,NIFTY 13 APR 27550 PUT,OP,,65.0,2026-04-13,27550.0,PE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,5399.7,4199.9,
NSE,D,55146,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27600-CE,NIFTY 13 APR 27600 CALL,OP,,65.0,2026-04-13,27600.0,CE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55149,,OPTIDX,26000.0,NIFTY,NIFTY-Apr2026-27600-PE,NIFTY 13 APR 27600 PUT,OP,,65.0,2026-04-13,27600.0,PE,5.0,W,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,5449.65,4249.85,
NSE,D,55166,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-3000-CE,NIFTY 30 JUN 3000 CALL,OP,,65.0,2026-06-30,3000.0,CE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20360.85,19161.05,
NSE,D,55167,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-3000-PE,NIFTY 30 JUN 3000 PUT,OP,,65.0,2026-06-30,3000.0,PE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55169,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-4500-CE,NIFTY 30 JUN 4500 CALL,OP,,65.0,2026-06-30,4500.0,CE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,18884.75,17684.95,
NSE,D,55170,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-4500-PE,NIFTY 30 JUN 4500 PUT,OP,,65.0,2026-06-30,4500.0,PE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
NSE,D,55171,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-6000-CE,NIFTY 30 JUN 6000 CALL,OP,,65.0,2026-06-30,6000.0,CE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,17408.65,16208.85,
NSE,D,55172,,OPTIDX,26000.0,NIFTY,NIFTY-Jun2026-6000-PE,NIFTY 30 JUN 6000 PUT,OP,,65.0,2026-06-30,6000.0,PE,5.0,M,N,N,N,,A,0,0,0.0,0,0,0.0,0.0,20.05,0.05,
