SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,35049,OPTIDX,0,BANKNIFTY-Jun2026-66200-PE,30.0,BANKNIFTY 30 JUN 66200 PUT,2026-06-30 14:30:00,66200.0,PE,5.0,M,OP,,
NSE,D,35050,OPTIDX,0,BANKNIFTY-Jun2026-66300-CE,30.0,BANKNIFTY 30 JUN 66300 CALL,2026-06-30 14:30:00,66300.0,CE,5.0,M,OP,,
NSE,D,35051,OPTIDX,0,BANKNIFTY-Jun2026-66300-PE,30.0,BANKNIFTY 30 JUN 66300 PUT,2026-06-30 14:30:00,66300.0,PE,5.0,M,OP,,
NSE,D,35052,OPTIDX,0,BANKNIFTY-Jun2026-66400-CE,30.0,BANKNIFTY 30 JUN 66400 CALL,2026-06-30 14:30:00,66400.0,CE,5.0,M,OP,,
NSE,D,35053,OPTIDX,0,BANKNIFTY-Jun2026-66400-PE,30.0,BANKNIFTY 30 JUN 66400 PUT,2026-06-30 14:30:00,66400.0,PE,5.0,M,OP,,
NSE,D,35054,OPTIDX,0,BANKNIFTY-Jun2026-74000-CE,30.0,BANKNIFTY 30 JUN 74000 CALL,2026-06-30 14:30:00,74000.0,CE,5.0,M,OP,,
NSE,D,35055,OPTIDX,0,BANKNIFTY-Jun2026-74000-PE,30.0,BANKNIFTY 30 JUN 74000 PUT,2026-06-30 14:30:00,74000.0,PE,5.0,M,OP,,
NSE,D,35056,OPTIDX,0,FINNIFTY-Apr2026-27350-CE,60.0,FINNIFTY 28 APR 27350 CALL,2026-04-28 14:30:00,27350.0,CE,5.0,M,OP,,
NSE,D,35057,OPTIDX,0,FINNIFTY-Apr2026-27350-PE,60.0,FINNIFTY 28 APR 27350 PUT,2026-04-28 14:30:00,27350.0,PE,5.0,M,OP,,
NSE,D,35058,OPTIDX,0,FINNIFTY-Apr2026-27450-CE,60.0,FINNIFTY 28 APR 27450 CALL,2026-04-28 14:30:00,27450.0,CE,5.0,M,OP,,
NSE,D,35059,OPTIDX,0,FINNIFTY-Apr2026-27450-PE,60.0,FINNIFTY 28 APR 27450 PUT,2026-04-28 14:30:00,27450.0,PE,5.0,M,OP,,
NSE,D,35060,OPTIDX,0,FINNIFTY-Apr2026-27550-CE,60.0,FINNIFTY 28 APR 27550 CALL,2026-04-28 14:30:00,27550.0,CE,5.0,M,OP,,
NSE,D,35061,OPTIDX,0,FINNIFTY-Apr2026-27550-PE,60.0,FINNIFTY 28 APR 27550 PUT,2026-04-28 14:30:00,27550.0,PE,5.0,M,OP,,
